,average_anual_temp(c),ppm
1950,7.853666666666666,311.543
1951,8.274833333333333,311.764
1952,8.578583333333333,312.025
1953,9.334833333333334,312.337
1954,8.119166666666667,312.709
1955,8.204916666666668,313.143
1956,7.446083333333334,313.633
1957,8.509333333333334,314.172
1958,7.201999999999999,314.757
1959,8.414666666666667,315.383
1960,7.814083333333333,316.04200000000003
1961,7.944083333333334,316.725
1962,7.0938333333333325,317.428
1963,7.442999999999999,318.153
1964,7.737916666666666,318.903
1965,7.4935,319.686
1966,7.770333333333332,320.51
1967,7.343833333333332,321.378
1968,7.554833333333332,322.29200000000003
1969,7.9671666666666665,323.252
1970,7.702749999999999,324.257
1971,7.792833333333333,325.306
1972,7.1898333333333335,326.397
1973,8.969750000000001,327.532
1974,7.861916666666666,328.709
1975,8.354833333333332,329.92900000000003
